( 3aMad.wav "pau E a: pau" ("E-a:") )
( NaSakin.wav "pau ? a pau" ("?-a") )
( Na.wav "pau ? a pau" ("?-a") )
( NiMad.wav "pau ? a pau" ("?-a") )
( Ni.wav "pau ? a pau" ("?-a") )
( NoMad.wav "pau ? a pau" ("?-a") )
( No.wav "pau ? a pau" ("?-a") )
( RaMad.wav "pau ? a pau" ("?-a") )
( RaSakin.wav "pau ? a pau" ("?-a") )
( Ra.wav "pau ? a pau" ("?-a") )
( RiMad.wav "pau ? a pau" ("?-a") )
( Ri.wav "pau ? a pau" ("?-a") )
( RoMad.wav "pau ? a pau" ("?-a") )
( Ro.wav "pau ? a pau" ("?-a") )
( SaMad.wav "pau ? a pau" ("?-a") )
( SaSakin.wav "pau ? a pau" ("?-a") )
( Sa.wav "pau ? a pau" ("?-a") )
( ShaMad.wav "pau ? a pau" ("?-a") )
( ShaSakin.wav "pau ? a pau" ("?-a") )
( Sha.wav "pau ? a pau" ("?-a") )
( ShiMad.wav "pau ? a pau" ("?-a") )
( Shi.wav "pau ? a pau" ("?-a") )
( ShoMad.wav "pau ? a pau" ("?-a") )
( Sho.wav "pau ? a pau" ("?-a") )
( SiMad.wav "pau ? a pau" ("?-a") )
( Si.wav "pau ? a pau" ("?-a") )
( SoMad.wav "pau ? a pau" ("?-a") )
( So.wav "pau ? a pau" ("?-a") )
( SSaMad.wav "pau ? a pau" ("?-a") )
( SSaSakin.wav "pau ? a pau" ("?-a") )
( SSa.wav "pau ? a pau" ("?-a") )
( SSiMad.wav "pau ? a pau" ("?-a") )
( SSi.wav "pau ? a pau" ("?-a") )
( SSoMad.wav "pau ? a pau" ("?-a") )
( SSo.wav "pau ? a pau" ("?-a") )
( TaMad.wav "pau ? a pau" ("?-a") )
( TaSakin.wav "pau ? a pau" ("?-a") )
( Ta.wav "pau ? a pau" ("?-a") )
( ThaMad.wav "pau ? a pau" ("?-a") )
( ThaSakin.wav "pau ? a pau" ("?-a") )
( Tha.wav "pau ? a pau" ("?-a") )
( ThhaMad.wav "pau ? a pau" ("?-a") )
( ThhaSakin.wav "pau ? a pau" ("?-a") )
( Thha.wav "pau ? a pau" ("?-a") )
( ThhiMad.wav "pau ? a pau" ("?-a") )
( Thhi.wav "pau ? a pau" ("?-a") )
( ThhoMad.wav "pau ? a pau" ("?-a") )
( Thho.wav "pau ? a pau" ("?-a") )
( ThiMad.wav "pau ? a pau" ("?-a") )
( Thi.wav "pau ? a pau" ("?-a") )
( ThoMad.wav "pau ? a pau" ("?-a") )
( Tho.wav "pau ? a pau" ("?-a") )
( TiMad.wav "pau ? a pau" ("?-a") )
( Ti.wav "pau ? a pau" ("?-a") )
( ToMad.wav "pau ? a pau" ("?-a") )
( To.wav "pau ? a pau" ("?-a") )
( TTaMad.wav "pau ? a pau" ("?-a") )
( TTaSakin.wav "pau ? a pau" ("?-a") )
( TTa.wav "pau ? a pau" ("?-a") )
( TTiMad.wav "pau ? a pau" ("?-a") )
( TTi.wav "pau ? a pau" ("?-a") )
( TToMad.wav "pau ? a pau" ("?-a") )
( TTo.wav "pau ? a pau" ("?-a") )
( WaMad.wav "pau ? a pau" ("?-a") )
( WaSakin.wav "pau ? a pau" ("?-a") )
( Wa.wav "pau ? a pau" ("?-a") )
( WiMad.wav "pau ? a pau" ("?-a") )
( Wi.wav "pau ? a pau" ("?-a") )
( WoMad.wav "pau ? a pau" ("?-a") )
( Wo.wav "pau ? a pau" ("?-a") )
( YaMad.wav "pau ? a pau" ("?-a") )
( YaSakin.wav "pau ? a pau" ("?-a") )
( Ya.wav "pau ? a pau" ("?-a") )
( YiMad.wav "pau ? a pau" ("?-a") )
( Yi.wav "pau ? a pau" ("?-a") )
( YoMad.wav "pau ? a pau" ("?-a") )
( Yo.wav "pau ? a pau" ("?-a") )
( ZaMad.wav "pau ? a pau" ("?-a") )
( ZaSakin.wav "pau ? a pau" ("?-a") )
( Za.wav "pau ? a pau" ("?-a") )
( ZhaMad.wav "pau ? a pau" ("?-a") )
( ZhaSakin.wav "pau ? a pau" ("?-a") )
( Zha.wav "pau ? a pau" ("?-a") )
( ZhiMad.wav "pau ? a pau" ("?-a") )
( Zhi.wav "pau ? a pau" ("?-a") )
( ZhoMad.wav "pau ? a pau" ("?-a") )
( Zho.wav "pau ? a pau" ("?-a") )
( ZiMad.wav "pau ? a pau" ("?-a") )
( Zi.wav "pau ? a pau" ("?-a") )
( ZoMad.wav "pau ? a pau" ("?-a") )
( Zo.wav "pau ? a pau" ("?-a") )
